Gen,PCdiversity
0,0.9275
1,0.9025
2,0.85
3,0.7725
4,0.74
5,0.72
6,0.7525
7,0.775
8,0.76
9,0.72
10,0.65
11,0.6575
12,0.65
13,0.675
14,0.68
15,0.7275
16,0.675
17,0.6475
18,0.73
19,0.73
20,0.7825
21,0.785
22,0.7925
23,0.765
24,0.815
25,0.7775
26,0.825
27,0.76
28,0.7375
29,0.7375
30,0.7225
31,0.7625
32,0.7375
33,0.7525
34,0.7575
35,0.74
36,0.79
37,0.74
38,0.79
39,0.77
40,0.75
41,0.765
42,0.7275
43,0.7875
44,0.7825
45,0.825
46,0.7925
47,0.76
48,0.785
49,0.775
50,0.7825
