Gen,PCdiversity
0,0.895
1,0.795
2,0.725
3,0.63
4,0.635
5,0.465
6,0.43
7,0.4
8,0.375
9,0.36
10,0.385
11,0.415
12,0.45
13,0.46
14,0.4
15,0.41
16,0.405
17,0.49
18,0.48
19,0.525
20,0.49
21,0.465
22,0.495
23,0.515
24,0.48
25,0.53
26,0.445
27,0.45
28,0.48
29,0.48
30,0.51
31,0.495
32,0.44
33,0.515
34,0.475
35,0.51
36,0.535
37,0.525
38,0.49
39,0.51
40,0.515
41,0.56
42,0.495
43,0.495
44,0.525
45,0.47
46,0.505
47,0.52
48,0.42
49,0.465
50,0.51
