Gen,PCdiversity
0,0.945
1,0.695
2,0.685
3,0.74
4,0.72
5,0.78
6,0.67
7,0.7
8,0.67
9,0.715
10,0.77
11,0.67
12,0.745
13,0.75
14,0.72
15,0.76
16,0.74
17,0.78
18,0.785
19,0.745
20,0.74
21,0.7
22,0.745
23,0.72
24,0.78
25,0.735
26,0.73
27,0.735
28,0.79
29,0.72
30,0.705
31,0.74
32,0.76
33,0.755
34,0.7
35,0.68
36,0.7
37,0.705
38,0.69
39,0.655
40,0.675
41,0.67
42,0.71
43,0.655
44,0.685
45,0.67
46,0.66
47,0.74
48,0.735
49,0.68
50,0.715
