Gen,PCdiversity
0,0.9825
1,0.9375
2,0.9275
3,0.9225
4,0.8675
5,0.86
6,0.8675
7,0.825
8,0.8175
9,0.7575
10,0.735
11,0.7575
12,0.7625
13,0.7
14,0.79
15,0.74
16,0.7375
17,0.7575
18,0.7925
19,0.7475
20,0.7875
21,0.7775
22,0.72
23,0.7375
24,0.785
25,0.8
26,0.8175
27,0.7725
28,0.6775
29,0.815
30,0.77
31,0.8
32,0.7675
33,0.765
34,0.7725
35,0.8075
36,0.7875
37,0.765
38,0.7875
39,0.7475
40,0.7575
41,0.74
42,0.715
43,0.785
44,0.775
45,0.795
46,0.8
47,0.75
48,0.795
49,0.77
50,0.755
