states,transshipment,actions1,actions2,rewards
"tensor([10000.,     0.,  9567., 20336.,     0.,     0.,     0.,     0.])",0,24000,0,-30000
"tensor([  433.,     0., 20336., 15248.,     0.,     0., 24000.,     0.])",0,12000,0,-10866
"tensor([ 4097.,     0., 15248., 23339.,     0.,     0., 12000.,     0.])",0,26000,0,-18194
"tensor([  849.,     0., 23339.,  8436.,     0.,     0., 26000.,     0.])",0,6000,0,-11698
"tensor([3510.,    0., 8436., 7004.,    0.,    0., 6000.,    0.])",0,10000,0,-17020
"tensor([ 1074.,     0.,  7004., 17025.,     0.,     0., 10000.,     0.])",0,14000,0,-12148
"tensor([ 4070.,     0., 17025., 26279.,     0.,     0., 14000.,     0.])",0,30000,0,-18140
"tensor([ 1045.,     0., 26279., 21576.,     0.,     0., 30000.,     0.])",0,18000,0,-12090
"tensor([ 4766.,     0., 21576.,  5456.,     0.,     0., 18000.,     0.])",0,10000,0,-19532
"tensor([ 1190.,     0.,  5456.,  7250.,     0.,     0., 10000.,     0.])",0,2000,0,-12380
"tensor([5734.,    0., 7250., 2659.,    0.,    0., 2000.,    0.])",0,6000,0,-21468
"tensor([  484.,     0.,  2659., 16192.,     0.,     0.,  6000.,     0.])",0,12000,0,-10968
"tensor([ 3825.,     0., 16192., 25127.,     0.,     0., 12000.,     0.])",0,30000,0,-17650
"tensor([ -367.,     0., 25127., 13417.,     0.,     0., 30000.,     0.])",0,8000,0,-28350
"tensor([ 4873.,     0., 13417., 15749.,     0.,     0.,  8000.,     0.])",0,22000,0,-19746
"tensor([ -544.,     0., 15749., 25379.,     0.,     0., 22000.,     0.])",0,20000,0,-37200
"tensor([ 6251.,     0., 25379., 14023.,     0.,     0., 20000.,     0.])",0,20000,0,-22502
"tensor([  872.,     0., 14023., 15565.,     0.,     0., 20000.,     0.])",0,10000,0,-11744
"tensor([ 6849.,     0., 15565., 20255.,     0.,     0., 10000.,     0.])",0,26000,0,-23698
"tensor([ 1284.,     0., 20255.,  1114.,     0.,     0., 26000.,     0.])",0,0,0,-2568
"tensor([ 7029.,     0.,  1114., 11532.,     0.,     0.,     0.,     0.])",0,8000,0,-24058
"tensor([ 5915.,     0., 11532., 19067.,     0.,     0.,  8000.,     0.])",0,22000,0,-21830
"tensor([ 2383.,     0., 19067., 19688.,     0.,     0., 22000.,     0.])",0,16000,0,-14766
"tensor([ 5316.,     0., 19688.,  3453.,     0.,     0., 16000.,     0.])",0,8000,0,-20632
"tensor([1628.,    0., 3453., 3063.,    0.,    0., 8000.,    0.])",0,0,0,-3256
"tensor([6175.,    0., 3063., 8525.,    0.,    0.,    0.,    0.])",0,8000,0,-22350
"tensor([3112.,    0., 8525., 3732.,    0.,    0., 8000.,    0.])",0,4000,0,-16224
"tensor([ 2587.,     0.,  3732., 24332.,     0.,     0.,  4000.,     0.])",0,24000,0,-15174
"tensor([ 2855.,     0., 24332.,  6617.,     0.,     0., 24000.,     0.])",0,6000,0,-15710
"tensor([ 2523.,     0.,  6617., 16931.,     0.,     0.,  6000.,     0.])",0,18000,0,-15046
"tensor([ 1906.,     0., 16931., 11092.,     0.,     0., 18000.,     0.])",0,10000,0,-13812
"tensor([ 2975.,     0., 11092., 26756.,     0.,     0., 10000.,     0.])",0,28000,0,-15950
"tensor([ 1883.,     0., 26756., 11439.,     0.,     0., 28000.,     0.])",0,10000,0,-13766
"tensor([ 3127.,     0., 11439.,  1971.,     0.,     0., 10000.,     0.])",0,4000,0,-16254
"tensor([1688.,    0., 1971.,  653.,    0.,    0., 4000.,    0.])",0,0,0,-3376
"tensor([ 3717.,     0.,   653., 13050.,     0.,     0.,     0.,     0.])",0,12000,0,-17434
"tensor([ 3064.,     0., 13050.,  6868.,     0.,     0., 12000.,     0.])",0,8000,0,-16128
"tensor([ 2014.,     0.,  6868., 28791.,     0.,     0.,  8000.,     0.])",0,28000,0,-14028
"tensor([ 3146.,     0., 28791.,  8195.,     0.,     0., 28000.,     0.])",0,8000,0,-16292
"tensor([ 2355.,     0.,  8195., 24485.,     0.,     0.,  8000.,     0.])",0,24000,0,-14710
"tensor([ 2160.,     0., 24485.,  7085.,     0.,     0., 24000.,     0.])",0,8000,0,-14320
"tensor([1675.,    0., 7085., 8488.,    0.,    0., 8000.,    0.])",0,8000,0,-13350
"tensor([2590.,    0., 8488., 5538.,    0.,    0., 8000.,    0.])",0,6000,0,-15180
"tensor([ 2102.,     0.,  5538., 17636.,     0.,     0.,  6000.,     0.])",0,18000,0,-14204
"tensor([ 2564.,     0., 17636.,  1813.,     0.,     0., 18000.,     0.])",0,2000,0,-15128
"tensor([ 2928.,     0.,  1813., 15629.,     0.,     0.,  2000.,     0.])",0,16000,0,-15856
"tensor([ 3115.,     0., 15629., 29802.,     0.,     0., 16000.,     0.])",0,30000,0,-16230
"tensor([ 3486.,     0., 29802.,  3166.,     0.,     0., 30000.,     0.])",0,2000,0,-16972
"tensor([3684.,    0., 3166., 1904.,    0.,    0., 2000.,    0.])",0,0,0,-7368
"tensor([ 2518.,     0.,  1904., 27700.,     0.,     0.,     0.,     0.])",0,30000,0,-15036
"tensor([  614.,     0., 27700.,  4663.,     0.,     0., 30000.,     0.])",0,2000,0,-11228
"tensor([ 2914.,     0.,  4663., 24240.,     0.,     0.,  2000.,     0.])",0,26000,0,-15828
"tensor([  251.,     0., 24240., 14587.,     0.,     0., 26000.,     0.])",0,12000,0,-10502
"tensor([ 2011.,     0., 14587.,  8714.,     0.,     0., 12000.,     0.])",0,12000,0,-14022
"tensor([ -576.,     0.,  8714., 22351.,     0.,     0., 12000.,     0.])",0,20000,0,-38800
"tensor([ 3286.,     0., 22351.,   301.,     0.,     0., 20000.,     0.])",0,2000,0,-16572
"tensor([  935.,     0.,   301., 29177.,     0.,     0.,  2000.,     0.])",0,28000,0,-11870
"tensor([ 2634.,     0., 29177., 12903.,     0.,     0., 28000.,     0.])",0,14000,0,-15268
"tensor([ 1457.,     0., 12903., 29849.,     0.,     0., 14000.,     0.])",0,28000,0,-12914
"tensor([ 2554.,     0., 29849.,  7756.,     0.,     0., 28000.,     0.])",0,10000,0,-15108
"tensor([  705.,     0.,  7756., 20446.,     0.,     0., 10000.,     0.])",0,18000,0,-11410
