states,transshipment,actions1,actions2,rewards
"tensor([10000.,     0.,  9567., 20336.,     0.,     0.,     0.,     0.])",0,20000,0,-30000
"tensor([  433.,     0., 20336., 15248.,     0.,     0., 20000.,     0.])",0,16000,0,-10866
"tensor([   97.,     0., 15248., 23339.,     0.,     0., 16000.,     0.])",0,22000,0,-10194
"tensor([  849.,     0., 23339.,  8436.,     0.,     0., 22000.,     0.])",0,10000,0,-11698
"tensor([ -490.,     0.,  8436.,  7004.,     0.,     0., 10000.,     0.])",0,6000,0,-34500
"tensor([ 1564.,     0.,  7004., 17025.,     0.,     0.,  6000.,     0.])",0,18000,0,-13128
"tensor([  560.,     0., 17025., 26279.,     0.,     0., 18000.,     0.])",0,26000,0,-11120
"tensor([ 1535.,     0., 26279., 21576.,     0.,     0., 26000.,     0.])",0,22000,0,-13070
"tensor([ 1256.,     0., 21576.,  5456.,     0.,     0., 22000.,     0.])",0,6000,0,-12512
"tensor([1680.,    0., 5456., 7250.,    0.,    0., 6000.,    0.])",0,6000,0,-13360
"tensor([2224.,    0., 7250., 2659.,    0.,    0., 6000.,    0.])",0,4000,0,-14448
"tensor([  974.,     0.,  2659., 16192.,     0.,     0.,  4000.,     0.])",0,14000,0,-11948
"tensor([ 2315.,     0., 16192., 25127.,     0.,     0., 14000.,     0.])",0,28000,0,-14630
"tensor([  123.,     0., 25127., 13417.,     0.,     0., 28000.,     0.])",0,10000,0,-10246
"tensor([ 2996.,     0., 13417., 15749.,     0.,     0., 10000.,     0.])",0,20000,0,-15992
"tensor([ -421.,     0., 15749., 25379.,     0.,     0., 20000.,     0.])",0,22000,0,-31050
"tensor([ 4251.,     0., 25379., 14023.,     0.,     0., 22000.,     0.])",0,18000,0,-18502
"tensor([  872.,     0., 14023., 15565.,     0.,     0., 18000.,     0.])",0,12000,0,-11744
"tensor([ 4849.,     0., 15565., 20255.,     0.,     0., 12000.,     0.])",0,24000,0,-19698
"tensor([ 1284.,     0., 20255.,  1114.,     0.,     0., 24000.,     0.])",0,0,0,-2568
"tensor([ 5029.,     0.,  1114., 11532.,     0.,     0.,     0.,     0.])",0,8000,0,-20058
"tensor([ 3915.,     0., 11532., 19067.,     0.,     0.,  8000.,     0.])",0,22000,0,-17830
"tensor([  383.,     0., 19067., 19688.,     0.,     0., 22000.,     0.])",0,16000,0,-10766
"tensor([ 3316.,     0., 19688.,  3453.,     0.,     0., 16000.,     0.])",0,8000,0,-16632
"tensor([-372.,    0., 3453., 3063.,    0.,    0., 8000.,    0.])",0,0,0,-18600
"tensor([4547.,    0., 3063., 8525.,    0.,    0.,    0.,    0.])",0,8000,0,-19094
"tensor([1484.,    0., 8525., 3732.,    0.,    0., 8000.,    0.])",0,4000,0,-12968
"tensor([  959.,     0.,  3732., 24332.,     0.,     0.,  4000.,     0.])",0,24000,0,-11918
"tensor([ 1227.,     0., 24332.,  6617.,     0.,     0., 24000.,     0.])",0,6000,0,-12454
"tensor([  895.,     0.,  6617., 16931.,     0.,     0.,  6000.,     0.])",0,18000,0,-11790
"tensor([  278.,     0., 16931., 11092.,     0.,     0., 18000.,     0.])",0,10000,0,-10556
"tensor([ 1347.,     0., 11092., 26756.,     0.,     0., 10000.,     0.])",0,28000,0,-12694
"tensor([  255.,     0., 26756., 11439.,     0.,     0., 28000.,     0.])",0,10000,0,-10510
"tensor([ 1499.,     0., 11439.,  1971.,     0.,     0., 10000.,     0.])",0,4000,0,-12998
"tensor([  60.,    0., 1971.,  653.,    0.,    0., 4000.,    0.])",0,0,0,-120
"tensor([ 2089.,     0.,   653., 13050.,     0.,     0.,     0.,     0.])",0,12000,0,-14178
"tensor([ 1436.,     0., 13050.,  6868.,     0.,     0., 12000.,     0.])",0,8000,0,-12872
"tensor([  386.,     0.,  6868., 28791.,     0.,     0.,  8000.,     0.])",0,28000,0,-10772
"tensor([ 1518.,     0., 28791.,  8195.,     0.,     0., 28000.,     0.])",0,8000,0,-13036
"tensor([  727.,     0.,  8195., 24485.,     0.,     0.,  8000.,     0.])",0,24000,0,-11454
"tensor([  532.,     0., 24485.,  7085.,     0.,     0., 24000.,     0.])",0,8000,0,-11064
"tensor([  47.,    0., 7085., 8488.,    0.,    0., 8000.,    0.])",0,8000,0,-10094
"tensor([ 962.,    0., 8488., 5538.,    0.,    0., 8000.,    0.])",0,6000,0,-11924
"tensor([  474.,     0.,  5538., 17636.,     0.,     0.,  6000.,     0.])",0,18000,0,-10948
