states,transshipment,actions1,actions2,rewards
"tensor([10000.,     0.,  9567., 20336.,     0.,     0.,     0.,     0.])",0,20000,0,-30000
"tensor([  433.,     0., 20336., 15248.,     0.,     0., 20000.,     0.])",0,16000,0,-10866
"tensor([   97.,     0., 15248., 23339.,     0.,     0., 16000.,     0.])",0,24000,0,-10194
"tensor([  849.,     0., 23339.,  8436.,     0.,     0., 24000.,     0.])",0,8000,0,-11698
"tensor([1510.,    0., 8436., 7004.,    0.,    0., 8000.,    0.])",0,8000,0,-13020
"tensor([ 1074.,     0.,  7004., 17025.,     0.,     0.,  8000.,     0.])",0,16000,0,-12148
"tensor([ 2070.,     0., 17025., 26279.,     0.,     0., 16000.,     0.])",0,26000,0,-14140
"tensor([ 1045.,     0., 26279., 21576.,     0.,     0., 26000.,     0.])",0,22000,0,-12090
"tensor([  766.,     0., 21576.,  5456.,     0.,     0., 22000.,     0.])",0,6000,0,-11532
"tensor([1190.,    0., 5456., 7250.,    0.,    0., 6000.,    0.])",0,8000,0,-12380
"tensor([1734.,    0., 7250., 2659.,    0.,    0., 8000.,    0.])",0,2000,0,-13468
"tensor([ 2484.,     0.,  2659., 16192.,     0.,     0.,  2000.,     0.])",0,16000,0,-14968
"tensor([ 1825.,     0., 16192., 25127.,     0.,     0., 16000.,     0.])",0,26000,0,-13650
"tensor([ 1633.,     0., 25127., 13417.,     0.,     0., 26000.,     0.])",0,14000,0,-13266
"tensor([ 2506.,     0., 13417., 15749.,     0.,     0., 14000.,     0.])",0,16000,0,-15012
"tensor([ 3089.,     0., 15749., 25379.,     0.,     0., 16000.,     0.])",0,26000,0,-16178
"tensor([ 3340.,     0., 25379., 14023.,     0.,     0., 26000.,     0.])",0,14000,0,-16680
"tensor([ 3961.,     0., 14023., 15565.,     0.,     0., 14000.,     0.])",0,16000,0,-17922
"tensor([ 3938.,     0., 15565., 20255.,     0.,     0., 16000.,     0.])",0,20000,0,-17876
"tensor([ 4373.,     0., 20255.,  1114.,     0.,     0., 20000.,     0.])",0,2000,0,-18746
"tensor([ 4118.,     0.,  1114., 11532.,     0.,     0.,  2000.,     0.])",0,10000,0,-18236
"tensor([ 5004.,     0., 11532., 19067.,     0.,     0., 10000.,     0.])",0,20000,0,-20008
"tensor([ 3472.,     0., 19067., 19688.,     0.,     0., 20000.,     0.])",0,20000,0,-16944
"tensor([ 4405.,     0., 19688.,  3453.,     0.,     0., 20000.,     0.])",0,4000,0,-18810
"tensor([4717.,    0., 3453., 3063.,    0.,    0., 4000.,    0.])",0,4000,0,-19434
"tensor([5264.,    0., 3063., 8525.,    0.,    0., 4000.,    0.])",0,6000,0,-20528
"tensor([6201.,    0., 8525., 3732.,    0.,    0., 6000.,    0.])",0,4000,0,-22402
"tensor([ 3676.,     0.,  3732., 24332.,     0.,     0.,  4000.,     0.])",0,24000,0,-17352
"tensor([ 3944.,     0., 24332.,  6617.,     0.,     0., 24000.,     0.])",0,6000,0,-17888
"tensor([ 3612.,     0.,  6617., 16931.,     0.,     0.,  6000.,     0.])",0,16000,0,-17224
"tensor([ 2995.,     0., 16931., 11092.,     0.,     0., 16000.,     0.])",0,12000,0,-15990
"tensor([ 2064.,     0., 11092., 26756.,     0.,     0., 12000.,     0.])",0,26000,0,-14128
"tensor([ 2972.,     0., 26756., 11439.,     0.,     0., 26000.,     0.])",0,12000,0,-15944
"tensor([ 2216.,     0., 11439.,  1971.,     0.,     0., 12000.,     0.])",0,2000,0,-14432
"tensor([2777.,    0., 1971.,  653.,    0.,    0., 2000.,    0.])",0,0,0,-5554
"tensor([ 2806.,     0.,   653., 13050.,     0.,     0.,     0.,     0.])",0,14000,0,-15612
"tensor([ 2153.,     0., 13050.,  6868.,     0.,     0., 14000.,     0.])",0,6000,0,-14306
"tensor([ 3103.,     0.,  6868., 28791.,     0.,     0.,  6000.,     0.])",0,28000,0,-16206
"tensor([ 2235.,     0., 28791.,  8195.,     0.,     0., 28000.,     0.])",0,8000,0,-14470
"tensor([ 1444.,     0.,  8195., 24485.,     0.,     0.,  8000.,     0.])",0,24000,0,-12888
"tensor([ 1249.,     0., 24485.,  7085.,     0.,     0., 24000.,     0.])",0,8000,0,-12498
"tensor([ 764.,    0., 7085., 8488.,    0.,    0., 8000.,    0.])",0,8000,0,-11528
"tensor([1679.,    0., 8488., 5538.,    0.,    0., 8000.,    0.])",0,6000,0,-13358
"tensor([ 1191.,     0.,  5538., 17636.,     0.,     0.,  6000.,     0.])",0,18000,0,-12382
