states,transshipment,actions1,actions2,rewards
"tensor([10000.,     0.,  9567., 20336.,     0.,     0.,     0.,     0.])",0,20000,0,-30000
"tensor([  433.,     0., 20336., 15248.,     0.,     0., 20000.,     0.])",0,16000,0,-10866
"tensor([   97.,     0., 15248., 23339.,     0.,     0., 16000.,     0.])",0,24000,0,-10194
"tensor([  849.,     0., 23339.,  8436.,     0.,     0., 24000.,     0.])",0,8000,0,-11698
"tensor([1510.,    0., 8436., 7004.,    0.,    0., 8000.,    0.])",0,8000,0,-13020
"tensor([ 1074.,     0.,  7004., 17025.,     0.,     0.,  8000.,     0.])",0,18000,0,-12148
"tensor([ 2070.,     0., 17025., 26279.,     0.,     0., 18000.,     0.])",0,26000,0,-14140
"tensor([ 3045.,     0., 26279., 21576.,     0.,     0., 26000.,     0.])",0,22000,0,-16090
"tensor([ 2766.,     0., 21576.,  5456.,     0.,     0., 22000.,     0.])",0,6000,0,-15532
"tensor([3190.,    0., 5456., 7250.,    0.,    0., 6000.,    0.])",0,8000,0,-16380
"tensor([3734.,    0., 7250., 2659.,    0.,    0., 8000.,    0.])",0,2000,0,-17468
"tensor([ 4484.,     0.,  2659., 16192.,     0.,     0.,  2000.,     0.])",0,16000,0,-18968
"tensor([ 3825.,     0., 16192., 25127.,     0.,     0., 16000.,     0.])",0,26000,0,-17650
"tensor([ 3633.,     0., 25127., 13417.,     0.,     0., 26000.,     0.])",0,14000,0,-17266
"tensor([ 4506.,     0., 13417., 15749.,     0.,     0., 14000.,     0.])",0,16000,0,-19012
"tensor([ 5089.,     0., 15749., 25379.,     0.,     0., 16000.,     0.])",0,26000,0,-20178
"tensor([ 5340.,     0., 25379., 14023.,     0.,     0., 26000.,     0.])",0,14000,0,-20680
"tensor([ 5961.,     0., 14023., 15565.,     0.,     0., 14000.,     0.])",0,16000,0,-21922
"tensor([ 5938.,     0., 15565., 20255.,     0.,     0., 16000.,     0.])",0,20000,0,-21876
"tensor([ 6373.,     0., 20255.,  1114.,     0.,     0., 20000.,     0.])",0,0,0,-12746
"tensor([ 6118.,     0.,  1114., 11532.,     0.,     0.,     0.,     0.])",0,12000,0,-22236
"tensor([ 5004.,     0., 11532., 19067.,     0.,     0., 12000.,     0.])",0,20000,0,-20008
"tensor([ 5472.,     0., 19067., 19688.,     0.,     0., 20000.,     0.])",0,20000,0,-20944
"tensor([ 6405.,     0., 19688.,  3453.,     0.,     0., 20000.,     0.])",0,0,0,-12810
"tensor([6717.,    0., 3453., 3063.,    0.,    0.,    0.,    0.])",0,0,0,-13434
"tensor([3264.,    0., 3063., 8525.,    0.,    0.,    0.,    0.])",0,8000,0,-16528
"tensor([ 201.,    0., 8525., 3732.,    0.,    0., 8000.,    0.])",0,4000,0,-10402
"tensor([ -324.,     0.,  3732., 24332.,     0.,     0.,  4000.,     0.])",0,24000,0,-26200
"tensor([  268.,     0., 24332.,  6617.,     0.,     0., 24000.,     0.])",0,6000,0,-10536
"tensor([  -64.,     0.,  6617., 16931.,     0.,     0.,  6000.,     0.])",0,16000,0,-13200
"tensor([ -617.,     0., 16931., 11092.,     0.,     0., 16000.,     0.])",0,12000,0,-40850
"tensor([ -931.,     0., 11092., 26756.,     0.,     0., 12000.,     0.])",0,26000,0,-56550
"tensor([  908.,     0., 26756., 11439.,     0.,     0., 26000.,     0.])",0,12000,0,-11816
"tensor([  152.,     0., 11439.,  1971.,     0.,     0., 12000.,     0.])",0,2000,0,-10304
"tensor([ 713.,    0., 1971.,  653.,    0.,    0., 2000.,    0.])",0,0,0,-1426
"tensor([  742.,     0.,   653., 13050.,     0.,     0.,     0.,     0.])",0,14000,0,-11484
"tensor([   89.,     0., 13050.,  6868.,     0.,     0., 14000.,     0.])",0,6000,0,-10178
"tensor([ 1039.,     0.,  6868., 28791.,     0.,     0.,  6000.,     0.])",0,28000,0,-12078
"tensor([  171.,     0., 28791.,  8195.,     0.,     0., 28000.,     0.])",0,8000,0,-10342
"tensor([ -620.,     0.,  8195., 24485.,     0.,     0.,  8000.,     0.])",0,24000,0,-41000
"tensor([ -195.,     0., 24485.,  7085.,     0.,     0., 24000.,     0.])",0,8000,0,-19750
"tensor([-485.,    0., 7085., 8488.,    0.,    0., 8000.,    0.])",0,8000,0,-34250
"tensor([ 915.,    0., 8488., 5538.,    0.,    0., 8000.,    0.])",0,6000,0,-11830
"tensor([  427.,     0.,  5538., 17636.,     0.,     0.,  6000.,     0.])",0,18000,0,-10854
