Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.685,0.03,0.35750000000000004
1,0.58,0.025,0.3025
2,0.72,0.035,0.3775
3,0.725,0.025,0.375
4,0.7,0.03,0.365
5,0.665,0.035,0.35000000000000003
6,0.645,0.035,0.34
7,0.64,0.055,0.34750000000000003
8,0.55,0.04,0.29500000000000004
9,0.535,0.045,0.29000000000000004
10,0.525,0.04,0.28250000000000003
11,0.52,0.04,0.28
12,0.495,0.04,0.2675
13,0.495,0.03,0.2625
14,0.445,0.045,0.245
15,0.415,0.035,0.22499999999999998
16,0.48,0.02,0.25
17,0.445,0.035,0.24
18,0.405,0.03,0.21750000000000003
19,0.425,0.045,0.235
20,0.435,0.04,0.2375
21,0.48,0.03,0.255
22,0.43,0.04,0.235
23,0.445,0.035,0.24
24,0.45,0.035,0.2425
25,0.37,0.025,0.1975
26,0.395,0.04,0.2175
27,0.39,0.03,0.21000000000000002
28,0.405,0.035,0.22000000000000003
29,0.325,0.035,0.18
30,0.43,0.03,0.22999999999999998
31,0.48,0.04,0.26
32,0.43,0.05,0.24
33,0.4,0.04,0.22
34,0.37,0.035,0.2025
35,0.32,0.025,0.17250000000000001
36,0.285,0.025,0.155
37,0.35,0.045,0.19749999999999998
38,0.335,0.025,0.18000000000000002
39,0.33,0.025,0.17750000000000002
40,0.325,0.025,0.17500000000000002
41,0.4,0.03,0.21500000000000002
42,0.37,0.025,0.1975
43,0.4,0.02,0.21000000000000002
44,0.4,0.01,0.20500000000000002
45,0.45,0.025,0.23750000000000002
46,0.44,0.025,0.2325
47,0.44,0.035,0.2375
48,0.425,0.03,0.22749999999999998
49,0.43,0.03,0.22999999999999998
50,0.415,0.035,0.22499999999999998
