Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.855,0.045,0.45
1,0.73,0.045,0.3875
2,0.775,0.025,0.4
3,0.84,0.025,0.4325
4,0.85,0.03,0.44
5,0.855,0.035,0.445
6,0.84,0.045,0.4425
7,0.885,0.04,0.4625
8,0.845,0.04,0.4425
9,0.85,0.035,0.4425
10,0.865,0.035,0.45
11,0.86,0.04,0.45
12,0.79,0.035,0.41250000000000003
13,0.7,0.04,0.37
14,0.675,0.035,0.35500000000000004
15,0.61,0.035,0.3225
16,0.66,0.04,0.35000000000000003
17,0.695,0.03,0.3625
18,0.55,0.035,0.29250000000000004
19,0.575,0.015,0.295
20,0.65,0.025,0.3375
21,0.63,0.02,0.325
22,0.62,0.025,0.3225
23,0.57,0.03,0.3
24,0.615,0.02,0.3175
25,0.685,0.02,0.35250000000000004
26,0.685,0.025,0.35500000000000004
27,0.71,0.02,0.365
28,0.745,0.015,0.38
29,0.79,0.015,0.4025
30,0.78,0.015,0.3975
31,0.77,0.02,0.395
32,0.765,0.025,0.395
33,0.76,0.015,0.3875
34,0.74,0.03,0.385
35,0.75,0.02,0.385
36,0.75,0.015,0.3825
37,0.775,0.025,0.4
38,0.735,0.03,0.3825
39,0.715,0.02,0.3675
40,0.66,0.02,0.34
41,0.695,0.02,0.3575
42,0.76,0.02,0.39
43,0.71,0.015,0.3625
44,0.815,0.025,0.42
45,0.74,0.02,0.38
46,0.765,0.015,0.39
47,0.745,0.02,0.3825
48,0.685,0.025,0.35500000000000004
49,0.725,0.015,0.37
50,0.735,0.02,0.3775
