Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.77,0.025,0.3975
1,0.65,0.025,0.3375
2,0.625,0.025,0.325
3,0.6,0.02,0.31
4,0.57,0.025,0.2975
5,0.53,0.02,0.275
6,0.59,0.03,0.31
7,0.65,0.03,0.34
8,0.63,0.03,0.33
9,0.53,0.03,0.28
10,0.44,0.025,0.2325
11,0.425,0.02,0.2225
12,0.455,0.025,0.24000000000000002
13,0.49,0.02,0.255
14,0.46,0.02,0.24000000000000002
15,0.5,0.03,0.265
16,0.485,0.02,0.2525
17,0.45,0.02,0.23500000000000001
18,0.47,0.02,0.245
19,0.49,0.025,0.2575
20,0.475,0.02,0.2475
21,0.51,0.02,0.265
22,0.495,0.02,0.2575
23,0.465,0.02,0.24250000000000002
24,0.555,0.025,0.29000000000000004
25,0.475,0.025,0.25
26,0.58,0.025,0.3025
27,0.55,0.025,0.28750000000000003
28,0.505,0.02,0.2625
29,0.585,0.02,0.3025
30,0.585,0.025,0.305
31,0.575,0.02,0.2975
32,0.535,0.02,0.2775
33,0.555,0.02,0.28750000000000003
34,0.555,0.02,0.28750000000000003
35,0.54,0.02,0.28
36,0.57,0.02,0.295
37,0.54,0.02,0.28
38,0.56,0.025,0.29250000000000004
39,0.63,0.02,0.325
40,0.5,0.02,0.26
41,0.55,0.015,0.28250000000000003
42,0.625,0.02,0.3225
43,0.605,0.025,0.315
44,0.61,0.02,0.315
45,0.645,0.03,0.3375
46,0.72,0.02,0.37
47,0.7,0.02,0.36
48,0.725,0.02,0.3725
49,0.66,0.025,0.3425
50,0.705,0.02,0.3625
