Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.65,0.05,0.35000000000000003
1,0.555,0.04,0.29750000000000004
2,0.65,0.04,0.34500000000000003
3,0.62,0.05,0.335
4,0.61,0.055,0.3325
5,0.67,0.06,0.365
6,0.685,0.05,0.36750000000000005
7,0.61,0.045,0.3275
8,0.65,0.045,0.34750000000000003
9,0.6,0.055,0.3275
10,0.65,0.065,0.35750000000000004
11,0.64,0.06,0.35
12,0.61,0.06,0.33499999999999996
13,0.56,0.055,0.30750000000000005
14,0.535,0.04,0.28750000000000003
15,0.6,0.045,0.3225
16,0.625,0.055,0.34
17,0.625,0.075,0.35
18,0.66,0.065,0.36250000000000004
19,0.54,0.07,0.30500000000000005
20,0.385,0.06,0.2225
21,0.475,0.05,0.2625
22,0.48,0.04,0.26
23,0.425,0.04,0.23249999999999998
24,0.465,0.05,0.2575
25,0.505,0.045,0.275
26,0.545,0.05,0.29750000000000004
27,0.55,0.04,0.29500000000000004
28,0.565,0.05,0.3075
29,0.555,0.04,0.29750000000000004
30,0.6,0.035,0.3175
31,0.54,0.03,0.28500000000000003
32,0.53,0.04,0.28500000000000003
33,0.555,0.035,0.29500000000000004
34,0.505,0.04,0.2725
35,0.58,0.04,0.31
36,0.555,0.05,0.30250000000000005
37,0.515,0.05,0.28250000000000003
38,0.57,0.055,0.3125
39,0.6,0.055,0.3275
40,0.56,0.035,0.29750000000000004
41,0.525,0.025,0.275
42,0.545,0.03,0.28750000000000003
43,0.535,0.035,0.28500000000000003
44,0.51,0.03,0.27
45,0.5,0.025,0.2625
46,0.545,0.04,0.29250000000000004
47,0.5,0.03,0.265
48,0.48,0.035,0.2575
49,0.465,0.045,0.255
50,0.46,0.035,0.2475
