Gen,PCdiversity
0,0.9975
1,0.955
2,0.9525
3,0.91
4,0.84
5,0.77
6,0.8225
7,0.7725
8,0.8175
9,0.8625
10,0.8875
11,0.8925
12,0.8275
13,0.8425
14,0.8
15,0.895
16,0.8575
17,0.895
18,0.8575
19,0.8825
20,0.82
21,0.8
22,0.815
23,0.7625
24,0.795
25,0.765
26,0.745
27,0.775
28,0.7625
29,0.7625
30,0.7575
31,0.8075
32,0.7025
33,0.7425
34,0.745
35,0.7325
36,0.765
37,0.72
38,0.7575
39,0.74
40,0.7675
41,0.73
42,0.7125
43,0.7575
44,0.6825
45,0.75
46,0.7225
47,0.73
48,0.7125
49,0.7575
50,0.6775
