Gen,PCdiversity
0,1.0
1,0.97
2,0.9175
3,0.9175
4,0.89
5,0.845
6,0.8025
7,0.7975
8,0.79
9,0.76
10,0.795
11,0.795
12,0.7875
13,0.785
14,0.8475
15,0.8075
16,0.8
17,0.8525
18,0.8125
19,0.8525
20,0.86
21,0.83
22,0.8275
23,0.8225
24,0.7825
25,0.7925
26,0.7775
27,0.81
28,0.74
29,0.7375
30,0.845
31,0.7825
32,0.875
33,0.79
34,0.81
35,0.795
36,0.83
37,0.74
38,0.73
39,0.6825
40,0.7375
41,0.6575
42,0.7225
43,0.695
44,0.8225
45,0.7225
46,0.7475
47,0.7375
48,0.7425
49,0.725
50,0.7575
