Gen,PCdiversity
0,0.98
1,0.96
2,0.9
3,0.97
4,0.97
5,1.0
6,0.99
7,0.99
8,0.99
9,0.98
10,0.98
11,0.99
12,0.98
13,0.99
14,0.98
15,1.0
16,0.99
17,0.99
18,1.0
19,0.98
20,0.98
