Gen,PCdiversity
0,0.845
1,0.72
2,0.6875
3,0.6
4,0.6125
5,0.51
6,0.47
7,0.4
8,0.495
9,0.4525
10,0.4175
11,0.45
12,0.42
13,0.4025
14,0.4175
15,0.39
16,0.415
17,0.485
18,0.505
19,0.505
20,0.4525
21,0.4725
22,0.5275
23,0.55
24,0.5525
25,0.56
26,0.5925
27,0.585
28,0.565
29,0.55
30,0.6075
31,0.625
32,0.625
33,0.6675
34,0.65
35,0.62
36,0.635
37,0.6375
38,0.6175
39,0.6675
40,0.6325
41,0.635
42,0.67
43,0.6325
44,0.6525
45,0.625
46,0.6
47,0.6025
48,0.5825
49,0.51
50,0.37
