Node,Mean Count
INL1,0.23333333333333334
PHC1,0.6333333333333333
PLSC1,0.8333333333333334
INC1,0.2
FOC1,1.2666666666666666
PIP1,0.23333333333333334
FC11,0.36666666666666664
FC12,0.43333333333333335
INL2,1.0666666666666667
PHC2,0.36666666666666664
PLSC2,0.3
INC2,0.2
FOC2,1.0333333333333334
PIP2,0.5
FC21,0.4
FC22,0.26666666666666666
PTC,0.2
FTC,0.9666666666666667
+,1.6333333333333333
-,2.033333333333333
*,0.9333333333333333
/,1.4333333333333333
max,1.4
min,1.0666666666666667
sqrt,1.3
^2,0.4666666666666667
