states,actions1,actions2,rewards
"tensor([9.9890e+03, 7.0000e+00, 2.0000e+00, 2.0000e+01, 1.4000e+01, 9.0000e+00,
        1.9000e+04, 8.0000e+00])",0,9,-10074
"tensor([9.9980e+03, 1.0000e+00, 2.0000e+01, 2.0000e+00, 9.0000e+00, 1.6000e+01,
        0.0000e+00, 9.0000e+00])",19002,14,-10103
"tensor([9.9780e+03, 1.0000e+00, 2.0000e+00, 2.3000e+01, 1.6000e+01, 3.0000e+00,
        1.9002e+04, 1.4000e+01])",0,9,-10033
"tensor([ 9.9980e+03, -1.0000e+00,  2.3000e+01,  6.0000e+00,  3.0000e+00,
         0.0000e+00,  0.0000e+00,  9.0000e+00])",19002,16,-10103
"tensor([9.9750e+03, 6.0000e+00, 6.0000e+00, 9.0000e+00, 0.0000e+00, 7.0000e+00,
        1.9002e+04, 1.6000e+01])",0,0,-10005
"tensor([9.9940e+03, 2.2000e+01, 9.0000e+00, 6.0000e+00, 7.0000e+00, 1.5000e+01,
        0.0000e+00, 0.0000e+00])",19006,0,-10154
"tensor([9.9850e+03, 1.5000e+01, 6.0000e+00, 7.0000e+00, 1.5000e+01, 7.0000e+00,
        1.9006e+04, 0.0000e+00])",0,9,-10110
"tensor([9.9940e+03, 0.0000e+00, 7.0000e+00, 4.0000e+00, 7.0000e+00, 1.3000e+01,
        0.0000e+00, 9.0000e+00])",19006,15,-10094
"tensor([9.9870e+03, 2.0000e+00, 4.0000e+00, 1.4000e+01, 1.3000e+01, 3.0000e+00,
        1.9006e+04, 1.5000e+01])",0,7,-10047
"tensor([9.9960e+03, 4.0000e+00, 1.4000e+01, 2.0000e+01, 3.0000e+00, 1.7000e+01,
        0.0000e+00, 7.0000e+00])",19004,13,-10116
"tensor([9.9820e+03, 8.0000e+00, 2.0000e+01, 2.0000e+00, 1.7000e+01, 3.0000e+00,
        1.9004e+04, 1.3000e+01])",0,0,-10022
"tensor([9.9800e+03, 4.0000e+00, 2.0000e+00, 4.0000e+00, 3.0000e+00, 2.0000e+00,
        0.0000e+00, 0.0000e+00])",19020,20,-10100
"tensor([9.9780e+03, 1.0000e+00, 4.0000e+00, 1.2000e+01, 2.0000e+00, 1.0000e+00,
        1.9020e+04, 2.0000e+01])",0,0,-9983
"tensor([9.9960e+03, 1.9000e+01, 1.2000e+01, 1.0000e+00, 1.0000e+00, 4.0000e+00,
        0.0000e+00, 0.0000e+00])",19004,5,-10191
"tensor([9.9840e+03, 1.8000e+01, 1.0000e+00, 1.7000e+01, 4.0000e+00, 7.0000e+00,
        1.9004e+04, 5.0000e+00])",0,0,-10074
"tensor([9.9990e+03, 1.9000e+01, 1.7000e+01, 9.0000e+00, 7.0000e+00, 4.0000e+00,
        0.0000e+00, 0.0000e+00])",19001,5,-10194
"tensor([9.9820e+03, 1.2000e+01, 9.0000e+00, 3.0000e+00, 4.0000e+00, 1.7000e+01,
        1.9001e+04, 5.0000e+00])",0,7,-10092
"tensor([9.9910e+03, 1.3000e+01, 3.0000e+00, 1.1000e+01, 1.7000e+01, 3.0000e+00,
        0.0000e+00, 7.0000e+00])",19009,0,-10106
"tensor([9.9880e+03, 3.0000e+00, 1.1000e+01, 0.0000e+00, 3.0000e+00, 1.0000e+00,
        1.9009e+04, 0.0000e+00])",0,21,-10053
"tensor([9.9890e+03, 0.0000e+00, 0.0000e+00, 1.4000e+01, 1.0000e+00, 1.4000e+01,
        0.0000e+00, 2.1000e+01])",19011,0,-10039
"tensor([9.9890e+03, 2.0000e+01, 1.4000e+01, 1.1000e+01, 1.4000e+01, 7.0000e+00,
        1.9011e+04, 0.0000e+00])",0,0,-10089
"tensor([9.9860e+03, 6.0000e+00, 1.1000e+01, 1.9000e+01, 7.0000e+00, 2.2000e+01,
        0.0000e+00, 0.0000e+00])",19014,18,-10116
"tensor([ 9.9750e+03, -1.0000e+00,  1.9000e+01,  6.0000e+00,  2.2000e+01,
         0.0000e+00,  1.9014e+04,  1.8000e+01])",0,7,-10030
"tensor([ 9.9810e+03, -4.0000e+00,  6.0000e+00,  1.1000e+01,  0.0000e+00,
         2.5000e+01,  0.0000e+00,  7.0000e+00])",19019,21,-10101
"tensor([9.9750e+03, 7.0000e+00, 1.1000e+01, 1.3000e+01, 2.5000e+01, 1.0000e+01,
        1.9019e+04, 2.1000e+01])",0,0,-10010
"tensor([9.9890e+03, 3.0000e+00, 1.3000e+01, 0.0000e+00, 1.0000e+01, 1.8000e+01,
        0.0000e+00, 0.0000e+00])",19011,21,-10104
