states,transshipment,actions1,actions2,rewards
"tensor([ 5.6980e+03, -1.3000e+01,  1.4000e+01,  2.0000e+01,  3.0000e+00,
         1.7000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5763
"tensor([ 5.6840e+03, -3.0000e+00,  2.0000e+01,  2.0000e+00,  1.7000e+01,
         3.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5699
"tensor([ 5.6640e+03, -1.7000e+01,  2.0000e+00,  4.0000e+00,  3.0000e+00,
         2.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5749
"tensor([ 5.6620e+03, -3.0000e+00,  4.0000e+00,  1.2000e+01,  2.0000e+00,
         1.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5677
"tensor([ 5.6580e+03, -2.0000e+00,  1.2000e+01,  1.0000e+00,  1.0000e+00,
         4.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5668
"tensor([ 5.6460e+03, -1.0000e+00,  1.0000e+00,  1.7000e+01,  4.0000e+00,
         7.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5651
"tensor([ 5.6450e+03, -4.0000e+00,  1.7000e+01,  9.0000e+00,  7.0000e+00,
         4.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5665
"tensor([ 5.6280e+03, -7.0000e+00,  9.0000e+00,  3.0000e+00,  4.0000e+00,
         1.7000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5663
"tensor([ 5.6190e+03, -4.0000e+00,  3.0000e+00,  1.1000e+01,  1.7000e+01,
         3.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5639
"tensor([ 5.6160e+03, -1.7000e+01,  1.1000e+01,  0.0000e+00,  3.0000e+00,
         1.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5701
"tensor([ 5.6050e+03, -3.0000e+00,  0.0000e+00,  1.4000e+01,  1.0000e+00,
         1.4000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5620
"tensor([ 5.6050e+03, -1.0000e+00,  1.4000e+01,  1.1000e+01,  1.4000e+01,
         7.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5610
"tensor([5591.,  -14.,   11.,   19.,    7.,   22.,    0.,    0.])",0,0,0,-5661
"tensor([5580.,   -7.,   19.,    6.,   22.,    0.,    0.,    0.])",0,0,0,-5615
"tensor([5561.,  -22.,    6.,   11.,    0.,   25.,    0.,    0.])",0,0,0,-5671
"tensor([5555.,    0.,   11.,   13.,   25.,   10.,    0.,    0.])",0,0,0,-5555
"tensor([5544.,  -25.,   13.,    0.,   10.,   18.,    0.,    0.])",0,0,0,-5669
