Node,Mean Count
INL1,0.6666666666666666
PHC1,0.13333333333333333
PLSC1,0.2
INC1,0.1
FOC1,0.6333333333333333
PIP1,0.3
FC11,0.3
FC12,0.23333333333333334
INL2,0.6333333333333333
PHC2,0.23333333333333334
PLSC2,0.36666666666666664
INC2,0.13333333333333333
FOC2,0.4666666666666667
PIP2,0.16666666666666666
FC21,0.23333333333333334
FC22,0.3333333333333333
PTC,0.16666666666666666
FTC,0.4
+,1.1
-,1.2
*,0.3333333333333333
/,0.7333333333333333
max,0.43333333333333335
min,0.9
sqrt,1.4333333333333333
^2,0.36666666666666664
