Gen,PCdiversity
0,0.98
1,0.94
2,0.8975
3,0.92
4,0.8625
5,0.855
6,0.795
7,0.84
8,0.855
9,0.8375
10,0.8275
11,0.8575
12,0.83
13,0.8
14,0.7725
15,0.7875
16,0.755
17,0.7925
18,0.7475
19,0.8225
20,0.8225
21,0.8175
22,0.805
23,0.83
24,0.79
25,0.8125
26,0.8025
27,0.7575
28,0.8075
29,0.7775
30,0.755
31,0.745
32,0.7925
33,0.7925
34,0.76
35,0.7325
36,0.74
37,0.705
38,0.7075
39,0.7075
40,0.64
41,0.7175
42,0.7325
43,0.7
44,0.775
45,0.7325
46,0.7725
47,0.785
48,0.7775
49,0.7375
50,0.7575
