Node,Mean Count
INL1,0.3
PHC1,0.26666666666666666
PLSC1,0.36666666666666664
INC1,0.16666666666666666
FOC1,1.4333333333333333
PIP1,0.43333333333333335
FC11,0.36666666666666664
FC12,0.36666666666666664
INL2,0.6666666666666666
PHC2,0.5666666666666667
PLSC2,0.23333333333333334
INC2,0.13333333333333333
FOC2,1.0
PIP2,0.16666666666666666
FC21,0.13333333333333333
FC22,0.43333333333333335
PTC,0.4
FTC,0.5666666666666667
+,1.3333333333333333
-,1.8333333333333333
*,0.5
/,2.1333333333333333
max,0.7
min,0.5
sqrt,1.1666666666666667
^2,0.5
