Gen,PCdiversity
0,0.99
1,0.975
2,0.92
3,0.81
4,0.7425
5,0.82
6,0.6525
7,0.695
8,0.7
9,0.6075
10,0.505
11,0.58
12,0.575
13,0.57
14,0.55
15,0.56
16,0.565
17,0.5775
18,0.5225
19,0.5275
20,0.495
21,0.4875
22,0.5425
23,0.51
24,0.55
25,0.5775
26,0.55
27,0.485
28,0.5475
29,0.565
30,0.5725
31,0.5025
32,0.5325
33,0.5625
34,0.5625
35,0.525
36,0.4575
37,0.4075
38,0.3875
39,0.4
40,0.43
41,0.4825
42,0.51
43,0.555
44,0.575
45,0.5625
46,0.6
47,0.5825
48,0.525
49,0.5425
50,0.545
