states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[1.0000e+01, 1.0000e+00, 1.0000e+00, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         1.0998e+01, 7.2222e-02, 5.0000e+00, 2.0000e+01],
        [1.0000e+01, 5.0000e+00, 5.0000e+00, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         7.7916e+00, 1.9097e+01, 5.0000e+00, 2.0000e+01],
        [1.0000e+01, 1.0000e+01, 1.0000e+01, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         1.5225e+01, 1.2874e+01, 5.0000e+00, 2.0000e+01]])",9000,9000,9000,5,5,5,-80.0
"tensor([[5.0000e+00, 1.0000e+00, 1.0000e+00, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         7.2222e-02, 1.1385e+01, 5.0000e+00, 2.0000e+01],
        [0.0000e+00, 5.0000e+00, 5.0000e+00, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         1.9097e+01, 1.5573e+00, 5.0000e+00, 2.0000e+01],
        [1.0000e+00, 1.0000e+01, 1.0000e+01, 1.0000e+02, 1.0000e+01, 0.0000e+00,
         1.2874e+01, 1.1645e+01, 5.0000e+00, 2.0000e+01]])",9000,9000,9000,5,5,5,-212.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  11.3854,
           4.5816,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   1.5573,
           7.9178,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  11.6454,
          15.0225,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-250.0
"tensor([[  5.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   4.5816,
           4.8251,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   7.9178,
          18.3888,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  15.0225,
           6.2620,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-71.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   4.8251,
           8.2977,   5.0000,  20.0000],
        [  4.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  18.3888,
           0.6098,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   6.2620,
           4.2551,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-189.0
"tensor([[  4.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   8.2977,
          19.8677,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   0.6098,
           5.3008,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   4.2551,
           3.7586,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-187.0
"tensor([[  7.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  19.8677,
          10.9308,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   5.3008,
           1.3079,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   3.7586,
          13.4030,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-51.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  10.9308,
          16.2173,   5.0000,  20.0000],
        [  4.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   1.3079,
          12.5160,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  13.4030,
           8.6318,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-77.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  16.2173,
           2.2627,   5.0000,  20.0000],
        [  5.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  12.5160,
           3.2471,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   8.6318,
          19.5368,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-144.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   2.2627,
          18.2617,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   3.2471,
          14.7192,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  19.5368,
          15.7786,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-79.0
