states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  12.6366,
           7.3031,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   3.2891,
           0.6937,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   5.7430,
          19.3159,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-92.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   7.3031,
          13.6971,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   0.6937,
           2.8685,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  19.3159,
          14.1705,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-132.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  13.6971,
           6.6593,   5.0000,  20.0000],
        [  9.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   2.8685,
           2.5860,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  14.1705,
           5.9956,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-196.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   6.6593,
          15.2417,   5.0000,  20.0000],
        [ 13.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   2.5860,
           8.9307,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   5.9956,
          12.7419,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-160.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  15.2417,
           8.5936,   5.0000,  20.0000],
        [ 15.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   8.9307,
          12.9921,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  12.7419,
          10.8103,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-168.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   8.5936,
          15.1717,   5.0000,  20.0000],
        [ 17.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  12.9921,
          18.3795,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  10.8103,
          19.6664,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-186.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  15.1717,
          12.3639,   5.0000,  20.0000],
        [ 15.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  18.3795,
           8.5719,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  19.6664,
          13.1579,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-174.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  12.3639,
          14.9236,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   8.5719,
           4.0078,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  13.1579,
          15.2130,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-250.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  14.9236,
          11.9040,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   4.0078,
          17.8314,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  15.2130,
           1.8242,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-140.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  11.9040,
          13.5075,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  17.8314,
           1.0030,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   1.8242,
           8.9957,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-167.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  13.5075,
           5.3824,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   1.0030,
           2.4787,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   8.9957,
          10.4678,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-135.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   5.3824,
           8.4128,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   2.4787,
           7.2449,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  10.4678,
           4.5139,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-69.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   8.4128,
           3.6901,   5.0000,  20.0000],
        [  3.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   7.2449,
           6.5099,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   4.5139,
          14.0229,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-131.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   3.6901,
          10.9786,   5.0000,  20.0000],
        [  6.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   6.5099,
           6.6071,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  14.0229,
           1.8052,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-68.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  10.9786,
          15.2548,   5.0000,  20.0000],
        [  5.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   6.6071,
           8.3922,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   1.8052,
          17.3489,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-143.0
"tensor([[  3.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  15.2548,
          11.9733,   5.0000,  20.0000],
        [  6.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   8.3922,
           4.2820,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  17.3489,
           6.6250,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-91.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  11.9733,
          19.9635,   5.0000,  20.0000],
        [  7.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   4.2820,
           8.1292,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   6.6250,
           1.8666,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-205.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  19.9635,
          18.4420,   5.0000,  20.0000],
        [  5.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   8.1292,
           5.7727,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   1.8666,
          18.2281,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-86.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  18.4420,
           8.4086,   5.0000,  20.0000],
        [  8.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   5.7727,
           8.0582,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  18.2281,
           2.8722,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-58.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   8.4086,
          14.3375,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   8.0582,
          12.8786,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   2.8722,
          14.8530,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-297.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  14.3375,
           5.5905,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  12.8786,
          15.5452,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  14.8530,
           5.0098,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-94.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   5.5905,
           8.6424,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  15.5452,
           9.9908,   5.0000,  20.0000],
        [  3.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   5.0098,
           3.5348,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-229.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   8.6424,
          16.3717,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   9.9908,
           7.6697,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   3.5348,
          15.1967,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-116.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  16.3717,
           3.7694,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   7.6697,
           5.5993,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  15.1967,
          10.1326,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-122.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   3.7694,
          19.2493,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   5.5993,
           5.8900,   5.0000,  20.0000],
        [  4.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  10.1326,
          15.5968,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-130.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  19.2493,
           8.4371,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   5.8900,
           9.8843,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  15.5968,
          10.3521,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-68.0
