states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   7.3229,
          18.1534,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  18.2560,
           4.3834,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   1.8054,
           5.6836,   5.0000,  20.0000]])",5,0,0,8,0,0,-101.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  18.1534,
          18.4900,   5.0000,  20.0000],
        [  6.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   4.3834,
           2.0552,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   5.6836,
           8.2666,   5.0000,  20.0000]])",1,-10,-10,17,0,7,-127.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   8.0000,  18.4900,
          16.8278,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   2.0552,
          13.8189,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   8.2666,
          12.8664,   5.0000,  20.0000]])",-5,-10,-10,16,13,12,-136.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  17.0000,  16.8278,
          18.4277,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  13.8189,
          19.5275,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   7.0000,  12.8664,
          14.9378,   5.0000,  20.0000]])",-5,-10,-10,17,19,14,-67.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,  16.0000,  18.4277,
          16.7262,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  13.0000,  19.5275,
          11.8450,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  12.0000,  14.9378,
          14.2516,   5.0000,  20.0000]])",-5,-10,-10,15,11,13,-51.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,  17.0000,  16.7262,
          14.3700,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  19.0000,  11.8450,
          15.0932,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  14.0000,  14.2516,
           7.4106,   5.0000,  20.0000]])",-5,-10,-10,13,14,6,-50.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  15.0000,  14.3700,
           7.9078,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  11.0000,  15.0932,
          17.7498,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  13.0000,   7.4106,
          18.7754,   5.0000,  20.0000]])",-5,-10,-10,7,17,18,-73.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  13.0000,   7.9078,
           2.4955,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  14.0000,  17.7498,
           5.1362,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   6.0000,  18.7754,
           6.2179,   5.0000,  20.0000]])",-5,-10,-10,1,4,5,-46.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   7.0000,   2.4955,
           9.8949,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,  17.0000,   5.1362,
          11.6223,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,  18.0000,   6.2179,
          11.0268,   5.0000,  20.0000]])",-4,-9,-9,9,11,10,-77.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   1.0000,   9.8949,
          11.6564,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   4.0000,  11.6223,
           5.0184,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  11.0268,
          12.2529,   5.0000,  20.0000]])",-5,-10,-10,10,4,11,-87.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   9.0000,  11.6564,
          11.6753,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  11.0000,   5.0184,
           6.4907,   5.0000,  20.0000],
        [  4.0000,  10.0000,  10.0000, 100.0000,  10.0000,  10.0000,  12.2529,
          19.5129,   5.0000,  20.0000]])",-5,-6,-6,10,5,16,-129.0
"tensor([[ 14.0000,   1.0000,   1.0000, 100.0000,  10.0000,  10.0000,  11.6753,
           4.8554,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   4.0000,   6.4907,
          15.1770,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,  11.0000,  19.5129,
           5.7874,   5.0000,  20.0000]])",-5,-9,-9,0,14,5,-146.0
"tensor([[ 16.0000,   1.0000,   1.0000, 100.0000,  10.0000,  10.0000,   4.8554,
           9.0111,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  15.1770,
          15.5934,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  16.0000,   5.7874,
          17.0564,   5.0000,  20.0000]])",-5,-10,-10,0,15,16,-50.0
"tensor([[ 15.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   9.0111,
          12.9730,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,  14.0000,  15.5934,
           3.4322,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  17.0564,
           8.3097,   5.0000,  20.0000]])",-4,-10,-10,0,2,7,-113.0
"tensor([[ 13.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  12.9730,
           6.5510,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,   3.4322,
           3.4057,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  16.0000,   8.3097,
          10.3096,   5.0000,  20.0000]])",-5,-10,-10,0,2,9,-73.0
"tensor([[  8.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   6.5510,
           9.7106,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,   3.4057,
          17.6894,   5.0000,  20.0000],
        [  3.0000,  10.0000,  10.0000, 100.0000,  10.0000,   7.0000,  10.3096,
           5.1981,   5.0000,  20.0000]])",-5,-7,-7,2,17,2,-51.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   9.7106,
           7.4803,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,  17.6894,
           5.3049,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,   5.1981,
           9.2663,   5.0000,  20.0000]])",-5,-8,-8,6,4,7,-79.0
