states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  17.3636,
           3.4853,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  14.8675,
           9.9243,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   2.3571,
          11.2813,   5.0000,  20.0000]])",5,0,0,0,0,1,-205.0
"tensor([[  5.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   3.4853,
          12.8395,   5.0000,  20.0000],
        [ 15.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   9.9243,
           4.8057,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  11.2813,
           3.0491,   5.0000,  20.0000]])",10,-10,-10,8,0,2,-84.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  12.8395,
          19.0701,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   4.8057,
           3.8539,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   1.0000,   3.0491,
          16.9328,   5.0000,  20.0000]])",-5,-10,-10,18,3,16,-144.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   8.0000,  19.0701,
           5.8345,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   3.8539,
           9.2538,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   2.0000,  16.9328,
           6.9100,   5.0000,  20.0000]])",-5,-10,-10,5,8,6,-71.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  18.0000,   5.8345,
           4.6241,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   3.0000,   9.2538,
           6.7604,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  16.0000,   6.9100,
          15.0859,   5.0000,  20.0000]])",-5,-10,-10,4,6,14,-65.0
"tensor([[  5.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   4.6241,
           2.9443,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   8.0000,   6.7604,
           2.5999,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   6.0000,  15.0859,
           2.8000,   5.0000,  20.0000]])",-5,-10,-10,0,2,2,-62.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   4.0000,   2.9443,
           8.0922,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,   2.5999,
           4.2739,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,  14.0000,   2.8000,
           0.7882,   5.0000,  20.0000]])",-5,-9,-9,6,3,0,-47.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   8.0922,
          11.1466,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,   4.2739,
          14.3894,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   2.0000,   0.7882,
          11.9712,   5.0000,  20.0000]])",-5,-10,-10,10,13,11,-44.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   6.0000,  11.1466,
           1.7028,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   3.0000,  14.3894,
           5.2182,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  11.9712,
           1.7840,   5.0000,  20.0000]])",-5,-10,-10,1,4,1,-56.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,  10.0000,   1.7028,
           6.3778,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  13.0000,   5.2182,
          15.8589,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  11.0000,   1.7840,
          18.1570,   5.0000,  20.0000]])",-5,-10,-10,5,15,17,-111.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   1.0000,   6.3778,
          15.9806,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,   4.0000,  15.8589,
          16.2484,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   1.0000,  18.1570,
           9.9209,   5.0000,  20.0000]])",-3,-10,-10,15,14,9,-40.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  15.9806,
          16.7677,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,  16.2484,
           7.5454,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  17.0000,   9.9209,
          13.9411,   5.0000,  20.0000]])",-3,-10,-10,16,6,13,-67.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  15.0000,  16.7677,
          13.3173,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,  14.0000,   7.5454,
          16.4864,   5.0000,  20.0000],
        [  3.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,  13.9411,
          12.4120,   5.0000,  20.0000]])",-4,-7,-7,12,15,9,-62.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  16.0000,  13.3173,
           7.4169,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,  16.4864,
           7.9045,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,  13.0000,  12.4120,
          10.5819,   5.0000,  20.0000]])",-5,-9,-9,6,7,10,-90.0
