states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  19.9582,
           1.5486,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   8.2308,
          14.5874,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   4.8702,
           4.4129,   5.0000,  20.0000]])",-10,-10,2,0,5,0,-89.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   1.5486,
          13.3258,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  14.5874,
           4.0587,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   4.4129,
          11.5640,   5.0000,  20.0000]])",-2,0,-13,12,3,10,-156.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  13.3258,
          11.9125,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   4.0587,
           0.1947,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  11.5640,
           0.7615,   5.0000,  20.0000]])",-13,-13,-4,11,0,0,-97.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  12.0000,  11.9125,
          15.2937,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   3.0000,   0.1947,
           3.6501,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  10.0000,   0.7615,
           1.3565,   5.0000,  20.0000]])",-12,-12,0,14,3,0,-36.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  11.0000,  15.2937,
           1.0892,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   3.6501,
          17.9862,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   1.3565,
           9.7166,   5.0000,  20.0000]])",-15,-14,-3,0,17,9,-21.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  14.0000,   1.0892,
          13.7763,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   3.0000,  17.9862,
           7.9027,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   9.7166,
          10.1773,   5.0000,  20.0000]])",-1,-1,-18,13,7,9,-48.0
"tensor([[  3.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  13.7763,
           7.6470,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  17.0000,   7.9027,
          17.3589,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,  10.1773,
          14.1608,   5.0000,  20.0000]])",-14,-14,-8,5,16,13,-48.0
"tensor([[  3.0000,   1.0000,   1.0000, 100.0000,  10.0000,  13.0000,   7.6470,
           4.6729,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   7.0000,  17.3589,
           7.1741,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,  14.1608,
           3.4178,   5.0000,  20.0000]])",-8,-8,-17,2,6,2,-96.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   4.6729,
          11.2845,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  16.0000,   7.1741,
          15.7516,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  13.0000,   3.4178,
          17.9253,   5.0000,  20.0000]])",-5,-5,-7,10,15,17,-94.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   2.0000,  11.2845,
           7.1794,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,  15.7516,
          10.7088,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   2.0000,  17.9253,
           8.8335,   5.0000,  20.0000]])",-9,-11,-16,6,9,8,-46.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  10.0000,   7.1794,
          17.8049,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,  10.7088,
          12.6681,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  17.0000,   8.8335,
          19.2508,   5.0000,  20.0000]])",-7,-7,-11,17,12,18,-44.0
"tensor([[  4.0000,   1.0000,   1.0000, 100.0000,  10.0000,   6.0000,  17.8049,
          15.2566,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,   9.0000,  12.6681,
           7.7200,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   8.0000,  19.2508,
          17.4739,   5.0000,  20.0000]])",-16,-18,-13,11,6,16,-51.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  17.0000,  15.2566,
          14.4862,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,  12.0000,   7.7200,
           0.2441,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,  18.0000,  17.4739,
           4.8070,   5.0000,  20.0000]])",-13,-14,-7,13,0,4,-141.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,  11.0000,  14.4862,
           3.5111,   5.0000,  20.0000],
        [  9.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,   0.2441,
          11.3805,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,  16.0000,   4.8070,
           9.8342,   5.0000,  20.0000]])",-5,-12,2,3,2,8,-187.0
