states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   1.6014,
          18.4218,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  16.8807,
          15.8269,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  18.4355,
          19.3574,   5.0000,  20.0000]])",-7,-7,-7,8,6,9,-149.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  18.4218,
          18.3117,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  15.8269,
          18.0681,   5.0000,  20.0000],
        [  6.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  19.3574,
           4.0929,   5.0000,  20.0000]])",-7,-7,-7,17,17,0,-213.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   8.0000,  18.3117,
          16.9689,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,  18.0681,
           6.7587,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,   4.0929,
          14.6694,   5.0000,  20.0000]])",-7,-7,-7,16,6,14,-170.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  17.0000,  16.9689,
          13.2004,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  17.0000,   6.7587,
           3.9244,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  14.6694,
           9.6687,   5.0000,  20.0000]])",-7,-7,-7,12,3,9,-66.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  16.0000,  13.2004,
          19.3631,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   6.0000,   3.9244,
          17.9072,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  14.0000,   9.6687,
           4.8089,   5.0000,  20.0000]])",-7,-7,-7,18,17,4,-91.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  12.0000,  19.3631,
           8.9190,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   3.0000,  17.9072,
           8.1605,   5.0000,  20.0000],
        [  4.0000,  10.0000,  10.0000, 100.0000,  10.0000,   9.0000,   4.8089,
           6.8401,   5.0000,  20.0000]])",-7,-7,-7,8,7,3,-32.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  18.0000,   8.9190,
           1.7953,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  17.0000,   8.1605,
          18.0306,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   4.0000,   6.8401,
          14.3936,   5.0000,  20.0000]])",-7,-7,-7,1,17,13,-59.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   8.0000,   1.7953,
          12.6318,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,   7.0000,  18.0306,
          15.9068,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   3.0000,  14.3936,
           0.5820,   5.0000,  20.0000]])",-7,-7,-7,12,15,0,-77.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   1.0000,  12.6318,
           0.8281,   5.0000,  20.0000],
        [  3.0000,   5.0000,   5.0000, 100.0000,  10.0000,  17.0000,  15.9068,
           5.2575,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  13.0000,   0.5820,
           4.2261,   5.0000,  20.0000]])",-7,-7,-7,0,2,3,-48.0
"tensor([[  3.0000,   1.0000,   1.0000, 100.0000,  10.0000,  12.0000,   0.8281,
          13.9625,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,   5.2575,
           8.0204,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   4.2261,
           9.6836,   5.0000,  20.0000]])",-7,-7,-7,11,7,8,-55.0
"tensor([[  5.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  13.9625,
          17.2871,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,   8.0204,
          13.7144,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   3.0000,   9.6836,
           9.0549,   5.0000,  20.0000]])",-7,-7,-7,12,13,7,-55.0
"tensor([[  5.0000,   1.0000,   1.0000, 100.0000,  10.0000,  11.0000,  17.2871,
           8.9854,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   7.0000,  13.7144,
          15.8956,   5.0000,  20.0000],
        [  2.0000,  10.0000,  10.0000, 100.0000,  10.0000,   8.0000,   9.0549,
           6.4594,   5.0000,  20.0000]])",-7,-7,-7,4,15,4,-84.0
"tensor([[  4.0000,   1.0000,   1.0000, 100.0000,  10.0000,  12.0000,   8.9854,
           3.0089,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,  13.0000,  15.8956,
           1.5038,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   7.0000,   6.4594,
          14.0320,   5.0000,  20.0000]])",-7,-7,-7,0,0,13,-31.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   4.0000,   3.0089,
           6.5992,   5.0000,  20.0000],
        [  4.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,   1.5038,
          18.0983,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   4.0000,  14.0320,
          16.8567,   5.0000,  20.0000]])",-7,-7,-7,6,14,16,-118.0
