states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  18.2062,
          18.5018,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   6.8905,
          14.7500,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   8.4378,
          17.8157,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-161.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  18.5018,
          13.5855,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  14.7500,
           6.3301,   5.0000,  20.0000],
        [  9.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  17.8157,
           8.2153,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-120.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  13.5855,
          14.4659,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   6.3301,
          14.4286,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   8.2153,
           6.1072,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-168.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  14.4659,
          10.6163,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  14.4286,
           4.0894,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   6.1072,
          11.7356,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-81.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  10.6163,
           7.7394,   5.0000,  20.0000],
        [  3.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   4.0894,
          10.5756,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  11.7356,
          17.0160,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-69.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   7.7394,
           6.6416,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  10.5756,
           1.1088,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  17.0160,
           7.1117,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-123.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   6.6416,
          15.8858,   5.0000,  20.0000],
        [  3.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   1.1088,
          10.9780,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   7.1117,
           6.3614,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-162.0
"tensor([[  2.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,  15.8858,
           9.3983,   5.0000,  20.0000],
        [  2.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  10.9780,
          10.3674,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   6.3614,
           7.2926,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-66.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   9.3983,
           7.1867,   5.0000,  20.0000],
        [  5.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,  10.3674,
           7.0419,   5.0000,  20.0000],
        [  1.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   7.2926,
          15.0722,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-95.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   5.0000,   7.1867,
           3.3534,   5.0000,  20.0000],
        [  4.0000,   5.0000,   5.0000, 100.0000,  10.0000,   5.0000,   7.0419,
           9.4704,   5.0000,  20.0000],
        [  3.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,  15.0722,
          14.7896,   5.0000,  20.0000]])",9000,9000,9000,5,5,5,-89.0
