states,transshipment01,transshipment02,transshipment12,actions0,actions1,actions2,rewards
"tensor([[ 10.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,  13.3327,
           3.0999,   5.0000,  20.0000],
        [ 10.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,   7.5172,
          18.8525,   5.0000,  20.0000],
        [ 10.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  10.3523,
           4.8170,   5.0000,  20.0000]])",-7,-7,-7,0,9,0,-124.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   3.0999,
           8.5971,   5.0000,  20.0000],
        [  1.0000,   5.0000,   5.0000, 100.0000,  10.0000,   0.0000,  18.8525,
          13.0875,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   4.8170,
           1.3650,   5.0000,  20.0000]])",-7,-7,-7,8,12,0,-230.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   0.0000,   8.5971,
          11.8451,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   9.0000,  13.0875,
           3.4363,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   1.3650,
           1.2130,   5.0000,  20.0000]])",-7,-7,-7,11,2,0,-115.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,   8.0000,  11.8451,
           2.9585,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  12.0000,   3.4363,
          13.1953,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   1.2130,
           0.2943,   5.0000,  20.0000]])",-7,-7,-7,2,12,0,-71.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  11.0000,   2.9585,
          14.6030,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,  13.1953,
          12.2196,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   0.2943,
          14.6729,   5.0000,  20.0000]])",-7,-7,-7,14,11,14,-31.0
"tensor([[  1.0000,   1.0000,   1.0000, 100.0000,  10.0000,   2.0000,  14.6030,
          16.5158,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  12.0000,  12.2196,
          15.8457,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,  14.6729,
           0.6113,   5.0000,  20.0000]])",-7,-7,-7,16,15,0,-35.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  14.0000,  16.5158,
          15.4480,   5.0000,  20.0000],
        [  3.0000,   5.0000,   5.0000, 100.0000,  10.0000,  11.0000,  15.8457,
          16.6923,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,  14.0000,   0.6113,
           6.2872,   5.0000,  20.0000]])",-7,-7,-7,14,14,5,-113.0
"tensor([[  0.0000,   1.0000,   1.0000, 100.0000,  10.0000,  16.0000,  15.4480,
          19.9303,   5.0000,  20.0000],
        [  0.0000,   5.0000,   5.0000, 100.0000,  10.0000,  15.0000,  16.6923,
           2.5840,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   0.0000,   6.2872,
           7.8753,   5.0000,  20.0000]])",-7,-7,-7,19,2,7,-68.0
"tensor([[  8.0000,   1.0000,   1.0000, 100.0000,  10.0000,  14.0000,  19.9303,
          10.2415,   5.0000,  20.0000],
        [  4.0000,   5.0000,   5.0000, 100.0000,  10.0000,  14.0000,   2.5840,
           2.5572,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   5.0000,   7.8753,
          17.5650,   5.0000,  20.0000]])",-7,-7,-7,2,0,17,-61.0
"tensor([[  6.0000,   1.0000,   1.0000, 100.0000,  10.0000,  19.0000,  10.2415,
           3.1072,   5.0000,  20.0000],
        [  5.0000,   5.0000,   5.0000, 100.0000,  10.0000,   2.0000,   2.5572,
          10.1591,   5.0000,  20.0000],
        [  0.0000,  10.0000,  10.0000, 100.0000,  10.0000,   7.0000,  17.5650,
           4.5508,   5.0000,  20.0000]])",-7,-7,-7,0,5,4,-111.0
