Gen,PCdiversity
0,0.9875
1,0.95
2,0.93
3,0.8925
4,0.835
5,0.765
6,0.79
7,0.8875
8,0.9
9,0.895
10,0.93
11,0.9175
12,0.8275
13,0.9075
14,0.8725
15,0.9025
16,0.89
17,0.9075
18,0.88
19,0.91
20,0.875
21,0.89
22,0.85
23,0.84
24,0.89
25,0.89
26,0.8725
27,0.83
28,0.81
29,0.8575
30,0.8525
31,0.8425
32,0.8275
33,0.7775
34,0.7975
35,0.8175
36,0.805
37,0.84
38,0.82
39,0.87
40,0.8325
41,0.8175
42,0.8025
43,0.8425
44,0.8125
45,0.8175
46,0.835
47,0.88
48,0.8
49,0.83
50,0.8625
